event,run,cluster_size
47631,1002,4,38.9499
47707,1002,5,41.6199
47846,1002,6,44.8317
47857,1002,7,42.6916
47880,1002,3,18.1948
47891,1002,5,45.2664
47932,1002,3,41.0997
47952,1002,4,35.5525
47994,1002,4,35.5235
48032,1002,5,10.5399
48034,1002,6,37.3731
48043,1002,3,35.0541
48092,1002,4,31.7011
48104,1002,5,40.8123
48148,1002,3,33.8233
48167,1002,2,31.1405
48254,1002,3,34.2984
48266,1002,2,19.4534
48406,1002,2,19.2247
48406,1002,2,11.0354
48456,1002,2,36.3971
48474,1002,4,44.4101
48491,1002,2,34.072
48591,1002,7,39.1384
48604,1002,6,38.2524
48607,1002,2,30.4328
48666,1002,8,35.2762
48740,1002,6,40.3075
48744,1002,4,28.5641
48775,1002,3,33.2146
48816,1002,3,35.1493
48856,1002,5,35.293
48915,1002,3,41.4473
49011,1002,4,26.6833
49050,1002,4,31.7599
49102,1002,3,34.5134
49257,1002,3,35.4098
49272,1002,4,25.7768
49319,1002,4,36.0552
49362,1002,4,37.8018
49412,1002,5,37.8588
49465,1002,4,35.6641
49516,1002,5,38.4599
49604,1002,6,29.6088
49624,1002,4,39.8946
49685,1002,4,43.8177
49736,1002,8,35.1406
49899,1002,6,42.8067
49933,1002,6,41.8061
49958,1002,4,37.7896
49998,1002,9,40.1724
50023,1002,4,46.6247
50108,1002,4,34.713
50179,1002,8,29.3793
50249,1002,5,34.9621
50480,1002,4,27.5563
50491,1002,6,44.0785
50594,1002,4,39.7152
50635,1002,6,39.4934
50702,1002,3,40.209
50712,1002,5,39.2635
50737,1002,7,35.11
50746,1002,6,38.4925
50766,1002,7,34.9075
50774,1002,7,36.7504
50842,1002,1,33.6691
50874,1002,6,31.3482
50965,1002,6,39.2452
50980,1002,3,40.9199
51024,1002,6,39.2586
51074,1002,4,24.085
51120,1002,7,44.0621
51210,1002,7,34.511
51214,1002,5,35.2465
51297,1002,5,42.772
51313,1002,5,33.848
51339,1002,7,34.0879
51350,1002,5,42.0184
51386,1002,2,36.5529
51494,1002,1,37.6949
51601,1002,4,37.433
51719,1002,4,35.4595
51850,1002,3,39.9901
51989,1002,4,39.98
52028,1002,4,32.6738
52056,1002,9,33.5318
52184,1002,2,24.7805
52360,1002,5,39.6654
52541,1002,5,41.7803
52608,1002,6,30.7929
52634,1002,2,35.4949
52638,1002,4,39.8207
52809,1002,3,27.7362
52817,1002,6,40.6423
52821,1002,2,33.9418
52830,1002,7,28.0715
52847,1002,2,12.1934
52986,1002,7,42.2919
53261,1002,4,36.243
53284,1002,5,47.666
53291,1002,5,37.0541
53292,1002,6,38.6222
53294,1002,5,40.4744
53362,1002,4,33.2078
53488,1002,4,36.5473
53493,1002,3,26.8071
53555,1002,3,34.878
53615,1002,7,35.4178
53641,1002,3,44.08
53698,1002,4,22.2362
53799,1002,3,35.9833
53914,1002,4,31.1367
53943,1002,4,40.5971
53980,1002,6,37.8797
54005,1002,6,29.1278
54055,1002,8,42.3541
54065,1002,3,48.5082
54148,1002,3,38.0681
54184,1002,4,39.8201
54466,1002,5,37.9642
54515,1002,4,37.7564
54531,1002,4,29.616
54624,1002,3,23.654
54649,1002,3,33.6376
54651,1002,3,43.4301
54714,1002,5,41.1765
54716,1002,4,39.7189
54728,1002,4,26.2357
54833,1002,9,45.6719
54853,1002,7,38.4726
54862,1002,5,39.684
